EmployerName,ReportStatus,NumberOfEmployees,GenderPayGap_HourlyPay_Mean_Percent,GenderPayGap_HourlyPay_Median_Percent,WomenInEachPayQuarter_Lower_Percent,WomenInEachPayQuarter_LowerMiddle_Percent,WomenInEachPayQuarter_UpperMiddle_Percent,WomenInEachPayQuarter_Upper_Percent,WhoReceivesBonusPay_Women_Percent,WhoReceivesBonusPay_Men_Percent,GenderPayGap_BonusPay_Mean_Percent,GenderPayGap_BonusPay_Median_Percent,Year,EmployerName_norm,Sector
BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY,Submitted,"20,000 or more",10.8,12.9,40.1,37.8,25.3,25.6,81.2,79.4,28.9,26.9,2021-22,BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY,Tech
BUPA INSURANCE SERVICES LIMITED,Submitted,1000 to 4999,14.7,4.0,58.0,62.8,61.2,51.9,92.8,92.3,55.4,22.9,2021-22,BUPA INSURANCE SERVICES LIMITED,Healthcare
GLAXOSMITHKLINE SERVICES UNLIMITED,Submitted,"5000 to 19,999",1.3,-1.3,47.8,39.6,43.9,44.9,100.0,100.0,7.0,-1.3,2021-22,GLAXOSMITHKLINE SERVICES UNLIMITED,Healthcare
GOOGLE UK LIMITED,Submitted,"5000 to 19,999",15.0,15.0,52.0,39.0,30.0,24.0,99.0,99.0,43.0,33.0,2021-22,GOOGLE UK LIMITED,Tech
Guy's & St Thomas' NHS Foundation Trust,Submitted,"20,000 or more",16.0,8.0,73.0,77.0,77.0,62.0,1.0,5.0,28.0,33.0,2021-22,GUY'S & ST THOMAS' NHS FOUNDATION TRUST,Healthcare
IBM UNITED KINGDOM LIMITED,Submitted,"5000 to 19,999",15.2,12.6,31.8,30.5,24.9,20.8,27.5,38.6,14.4,61.4,2021-22,IBM UNITED KINGDOM LIMITED,Tech
Manchester University NHS Foundation Trust,Submitted,"20,000 or more",24.0,12.0,78.0,87.0,86.0,68.0,1.0,5.0,31.0,33.0,2021-22,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,Healthcare
MICROSOFT LIMITED,Submitted,"5000 to 19,999",7.0,6.9,38.4,29.6,27.4,25.5,84.8,76.7,9.4,20.0,2021-22,MICROSOFT LIMITED,Tech
MONZO BANK LIMITED,Submitted,1000 to 4999,15.6,4.3,47.5,47.9,50.1,34.9,2.8,3.3,33.4,40.0,2021-22,MONZO BANK LIMITED,Tech
SPIRE HEALTHCARE LIMITED,Submitted,"5000 to 19,999",17.3,7.1,80.8,81.2,83.3,74.3,77.1,73.8,50.2,0.0,2021-22,SPIRE HEALTHCARE LIMITED,Healthcare
ARM LIMITED,Submitted,1000 to 4999,19.92,21.97,33.42,24.6,19.22,10.48,100.0,100.0,26.12,28.78,2022-23,ARM LIMITED,Tech
ASTRAZENECA UK LIMITED,Submitted,"5000 to 19,999",9.0,9.1,50.1,50.9,48.0,41.2,82.4,85.2,37.7,18.2,2022-23,ASTRAZENECA UK LIMITED,Healthcare
Barts Health Nhs Trust,Submitted,"5000 to 19,999",19.2,11.7,71.9,77.8,78.0,55.6,2.4,4.1,29.6,0.0,2022-23,BARTS HEALTH NHS TRUST,Healthcare
BRITISH BROADCASTING CORPORATION,Submitted,"5000 to 19,999",5.1,5.9,56.0,46.5,42.3,42.6,51.0,49.0,13.3,0.0,2022-23,BRITISH BROADCASTING CORPORATION,Tech
BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY,Submitted,"20,000 or more",9.8,13.3,40.6,37.3,25.4,25.8,91.8,92.1,22.9,20.2,2022-23,BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY,Tech
BUPA INSURANCE SERVICES LIMITED,Submitted,1000 to 4999,15.8,6.4,60.8,59.9,60.1,51.4,92.3,93.1,58.0,19.4,2022-23,BUPA INSURANCE SERVICES LIMITED,Healthcare
GLAXOSMITHKLINE SERVICES UNLIMITED,Submitted,"5000 to 19,999",-1.1,-4.6,45.6,39.1,45.1,46.5,100.0,100.0,2.4,-13.2,2022-23,GLAXOSMITHKLINE SERVICES UNLIMITED,Healthcare
GOOGLE UK LIMITED,Submitted,"5000 to 19,999",16.0,16.0,55.0,40.0,32.0,26.0,96.0,96.0,59.0,35.0,2022-23,GOOGLE UK LIMITED,Tech
Guy's & St Thomas' NHS Foundation Trust,Submitted,"20,000 or more",13.31,6.93,71.22,76.14,77.41,61.65,3.66,11.27,39.76,0.0,2022-23,GUY'S & ST THOMAS' NHS FOUNDATION TRUST,Healthcare
IBM UNITED KINGDOM LIMITED,Submitted,"5000 to 19,999",22.2,15.8,35.9,34.0,25.5,21.9,75.8,76.9,44.9,27.4,2022-23,IBM UNITED KINGDOM LIMITED,Tech
Manchester University NHS Foundation Trust,Submitted,"20,000 or more",24.92,5.43,80.96,84.42,83.08,69.76,0.57,4.17,30.28,50.0,2022-23,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,Healthcare
MICROSOFT LIMITED,SubmittedLate,"5000 to 19,999",5.5,6.2,39.2,29.6,28.9,26.2,86.5,87.8,20.5,26.9,2022-23,MICROSOFT LIMITED,Tech
MONZO BANK LIMITED,Submitted,1000 to 4999,18.0,9.3,52.1,51.4,48.6,38.2,4.0,7.2,56.0,0.0,2022-23,MONZO BANK LIMITED,Tech
SPIRE HEALTHCARE LIMITED,Submitted,"5000 to 19,999",17.1,6.2,82.1,79.9,82.2,74.3,83.7,82.2,70.2,0.0,2022-23,SPIRE HEALTHCARE LIMITED,Healthcare
ARM LIMITED,Submitted,1000 to 4999,18.08,17.91,28.87,23.8,17.04,10.72,86.16,91.41,29.0,31.54,2023-24,ARM LIMITED,Tech
ASTRAZENECA UK LIMITED,Submitted,"5000 to 19,999",8.7,7.1,50.8,51.7,48.0,42.7,82.2,85.0,26.2,18.9,2023-24,ASTRAZENECA UK LIMITED,Healthcare
Barts Health Nhs Trust,Submitted,"5000 to 19,999",17.5,8.3,68.6,75.8,78.5,56.4,2.5,7.6,32.6,0.0,2023-24,BARTS HEALTH NHS TRUST,Healthcare
BRITISH BROADCASTING CORPORATION,Submitted,"5000 to 19,999",4.7,7.3,57.0,48.0,41.0,43.0,19.6,18.3,25.2,0.0,2023-24,BRITISH BROADCASTING CORPORATION,Tech
BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY,Submitted,"20,000 or more",7.5,9.0,37.0,30.0,23.0,24.0,60.0,60.0,18.3,12.1,2023-24,BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY,Tech
BUPA INSURANCE SERVICES LIMITED,Submitted,1000 to 4999,13.2,5.4,63.8,60.0,61.9,51.7,96.6,96.6,45.4,8.7,2023-24,BUPA INSURANCE SERVICES LIMITED,Healthcare
GLAXOSMITHKLINE SERVICES UNLIMITED,Submitted,"5000 to 19,999",-0.2,-3.9,46.2,40.4,44.8,46.8,100.0,100.0,1.9,-4.0,2023-24,GLAXOSMITHKLINE SERVICES UNLIMITED,Healthcare
GOOGLE UK LIMITED,Submitted,"5000 to 19,999",13.0,12.0,53.0,40.0,33.0,27.0,99.0,99.0,43.0,38.0,2023-24,GOOGLE UK LIMITED,Tech
Guy's & St Thomas' NHS Foundation Trust,Submitted,"20,000 or more",11.73,2.66,70.64,75.12,76.93,63.65,3.51,9.49,27.74,0.0,2023-24,GUY'S & ST THOMAS' NHS FOUNDATION TRUST,Healthcare
IBM UNITED KINGDOM LIMITED,Submitted,"5000 to 19,999",15.6,13.9,34.4,34.0,26.6,21.6,92.3,91.2,37.3,40.1,2023-24,IBM UNITED KINGDOM LIMITED,Tech
Manchester University NHS Foundation Trust,Submitted,"20,000 or more",22.65,2.29,77.8,85.2,83.75,68.1,0.5,3.6,25.4,33.3,2023-24,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,Healthcare
MICROSOFT LIMITED,Submitted,"5000 to 19,999",6.1,6.3,42.4,32.3,29.3,28.5,93.3,94.1,16.6,28.6,2023-24,MICROSOFT LIMITED,Tech
MONZO BANK LIMITED,Submitted,1000 to 4999,18.3,8.1,50.8,48.3,52.5,35.3,5.5,10.4,46.5,0.0,2023-24,MONZO BANK LIMITED,Tech
SPIRE HEALTHCARE LIMITED,Submitted,"5000 to 19,999",17.7,9.2,83.1,79.8,81.3,75.3,28.5,30.5,82.0,50.0,2023-24,SPIRE HEALTHCARE LIMITED,Healthcare
ARM LIMITED,Submitted,1000 to 4999,17.33,17.41,28.57,23.26,17.29,11.19,83.71,88.32,31.07,30.23,2024-25,ARM LIMITED,Tech
ASTRAZENECA UK LIMITED,Submitted,"5000 to 19,999",8.2,7.7,52.3,50.6,48.1,43.3,87.6,88.4,27.9,19.3,2024-25,ASTRAZENECA UK LIMITED,Healthcare
Barts Health Nhs Trust,SubmittedLate,"20,000 or more",16.9,4.8,67.5,73.7,78.5,57.9,65.32,55.73,29.6,5.9,2024-25,BARTS HEALTH NHS TRUST,Healthcare
BRITISH BROADCASTING CORPORATION,Submitted,"5000 to 19,999",5.4,7.9,57.0,49.0,43.0,42.0,22.4,21.7,17.9,0.0,2024-25,BRITISH BROADCASTING CORPORATION,Tech
BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY,Submitted,"20,000 or more",6.0,8.0,36.0,30.0,23.0,24.0,63.0,64.0,15.3,14.2,2024-25,BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY,Tech
BUPA INSURANCE SERVICES LIMITED,Submitted,1000 to 4999,11.9,5.9,61.5,63.8,59.6,52.7,96.8,95.6,48.8,8.4,2024-25,BUPA INSURANCE SERVICES LIMITED,Healthcare
GLAXOSMITHKLINE SERVICES UNLIMITED,Submitted,"5000 to 19,999",-0.9,-4.4,50.2,37.1,45.2,48.2,100.0,100.0,4.1,-8.3,2024-25,GLAXOSMITHKLINE SERVICES UNLIMITED,Healthcare
GOOGLE UK LIMITED,Submitted,"5000 to 19,999",12.0,12.0,52.0,40.0,34.0,29.0,99.0,99.0,44.0,33.0,2024-25,GOOGLE UK LIMITED,Tech
Guy's & St Thomas' NHS Foundation Trust,Submitted,"20,000 or more",12.44,8.56,69.76,76.19,78.13,61.74,4.01,11.18,27.5,0.0,2024-25,GUY'S & ST THOMAS' NHS FOUNDATION TRUST,Healthcare
IBM UNITED KINGDOM LIMITED,Submitted,"5000 to 19,999",14.3,13.7,35.1,32.8,26.3,22.4,93.0,91.4,34.1,29.1,2024-25,IBM UNITED KINGDOM LIMITED,Tech
Manchester University NHS Foundation Trust,Submitted,"20,000 or more",22.32,2.29,76.18,84.8,85.63,66.43,0.44,3.13,30.85,33.33,2024-25,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,Healthcare
MICROSOFT LIMITED,Submitted,"5000 to 19,999",6.6,5.3,41.1,30.9,30.1,27.8,95.9,96.8,21.2,22.9,2024-25,MICROSOFT LIMITED,Tech
MONZO BANK LIMITED,Submitted,1000 to 4999,17.3,6.3,53.0,51.7,49.5,38.5,5.7,9.3,41.9,2.3,2024-25,MONZO BANK LIMITED,Tech
SPIRE HEALTHCARE LIMITED,Submitted,"5000 to 19,999",16.2,11.6,83.9,79.1,79.6,74.2,29.8,32.0,74.7,25.0,2024-25,SPIRE HEALTHCARE LIMITED,Healthcare
